1 CHISAMBA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"2,288",40.00,19.01,,,,,
"",,HICHILEMA HAKAINDE,UPND,91,2.00,0.76,,,,,
"",,MIYANDA GODFREY K,HERITAGE,19,0.00,0.16,,,,,
Totals for MAMBILIMA,,,,,,,75,1.31,"5,737","12,037",47.66
64 MWENSE,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"5,858",70.00,30.06,,,,,
"",,BANDA RUPIAH B,MMD,"2,190",26.00,11.24,,,,,
"",,HICHILEMA HAKAINDE,UPND,198,2.00,1.02,,,,,
"",,MIYANDA GODFREY K,HERITAGE,20,0.00,0.10,,,,,
Totals for MWENSE,,,,,,,88,1.05,"8,354","19,486",42.87
65 CHIENGE,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"3,942",54.00,10.51,,,,,
"",BANDA RUPIAH B,,MMD,"3,193",44.00,8.52,,,,,
"",HICHILEMA HAKAINDE,,UPND,43,1.00,0.11,,,,,
"",MIYANDA GODFREY K,,HERITAGE,16,0.00,0.04,,,,,
Totals for CHIENGE,,,,,,,70,0.96,"7,264","37,497",19.37
66 NCHELENGE,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"8,470",72.00,18.54,,,,,
"",BANDA RUPIAH B,,MMD,"2,766",24.00,6.05,,,,,
"",HICHILEMA HAKAINDE,,UPND,274,2.00,0.60,,,,,
"",MIYANDA GODFREY K,,HERITAGE,38,0.00,0.08,,,,,
Totals for NCHELENGE,,,,,,,161,1.38,"11,709","45,697",25.62
67 BANGWEULU,,,,,,,,,,,
SATA MICHAEL C,,,PF,"11,252",79.00,33.58,,,,,
BANDA RUPIAH B,,,MMD,"2,529",18.00,7.55,,,,,
HICHILEMA HAKAINDE,,,UPND,162,1.00,0.48,,,,,
MIYANDA GODFREY K,,,HERITAGE,48,0.00,0.14,,,,,
Totals for BANGWEULU,,,,,,,167,1.18,"14,158","33,513",42.25
68 CHIFUNABULI,,,,,,,,,,,
SATA MICHAEL C,,,PF,"8,422",66.00,30.77,,,,,
BANDA RUPIAH B,,,MMD,"4,044",32.00,14.78,,,,,
